Lp.;Wytwórca;Model;Na indywidualne zamówienie;Kod;Nazwa;Kod środka;Nazwa środka;Cena
118;SZAJNA;CR 1,5 K;NIE;2137;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;110,00
119;RAKO;CR 1,56;NIE;2318;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
120;JZO;IZOKRON 16;NIE;1664;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;90,00
121;JZO;IZOPLAST 156;NIE;2159;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;190,00
122;RAKO;CR/60;NIE;2316;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
123;JZO;IZOKRON 16;NIE;2310;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
124;SZAJNA;CR;NIE;2313;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
125;JZO;IZOPLAST 150 M;NIE;2156;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
126;SZAJNA;OPTIGLAS 1,7;NIE;1677;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;95,00
127;JZO;NIE DOTYCZY;NIE;1424;SZKŁO OKULAROWE;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;50,00
128;SZAJNA;CR 1,56 A;NIE;2139;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;140,00
129;JZO;IZOKRON IN. 15;NIE;2312;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
130;RAKO;CR/60;NIE;2089;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;59,00
131;JZO;NEOLENS RX 1,6 ASF;NIE;2162;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;196,00
132;JZO;IZOPLAST 150 M;NIE;2309;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;100,00
133;SZAJNA;CR 1,359;NIE;2141;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;200,00
134;SZAJNA;CR 1,56;NIE;2278;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;200,00
135;NEOLENS;NEODENS RX 1,6 ASF;NIE;1669;SOCZEWKA OKULAROWA;O.01.01.01.B1   ;SFERA OD 6,25 DPTR I CYLINDER OD 0,00 DPTR - DO BLIŻY DZIECI                                                                                                                                                                                              ;196,00
136;SZAJNA;CR/60;NIE;1921;SOCZEWKA OKULAROWA;O.01.02.00.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;35,00
137;SZAJNA;PROFIT IN 1,5;NIE;1615;SOCZEWKA OKULAROWA;O.01.02.00.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;25,00
138;RAKO;CR 1,6;NIE;1861;SOCZEWKA OKULAROWA;O.01.02.00.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;80,00
139;SZAJNA;CR 1,6;NIE;1929;SOCZEWKA OKULAROWA;O.01.02.00.D    ;SFERA DO 6,00 DPTR I CYLINDER DO 2,00 DPTR - DO DALI DOROŚLI                                                                                                                                                                                              ;199,00
